date, pm25, pm10, o3, no2, so2, co, year
8/26, 9, , 15, 1, , 2, 2022
8/27, 7, , 18, 1, , 2, 2022
8/28, 23, , 19, 1, , 2, 2022
8/29, 45, , 24, 2, , 2, 2022
8/30, 39, , 26, 3, , 3, 2022
8/31, 45, , 27, 2, , 3, 2022
9/1, 28, , 24, 3, , 3, 2022
9/2, 27, , 22, 2, , 3, 2022
9/3, 35, , 17, 2, , 2, 2022
9/4, 28, , 19, 6, , 3, 2022
9/5, 38, , 25, 10, , 4, 2022
9/6, 49, , 30, 11, , 4, 2022
9/7, 57, , 20, 6, , 3, 2022
9/8, 54, , 20, 10, , 4, 2022
9/9, 63, , 21, 4, , 3, 2022
9/10, 65, , 20, 2, , 2, 2022
9/11, 47, , 22, 3, , 3, 2022
9/12, 48, , 21, 2, , 2, 2022
9/13, 51, , 24, 2, , 2, 2022
9/14, 18, , 24, 2, , 2, 2022
9/15, 22, , 23, 2, , 2, 2022
9/16, 27, , 22, 3, , 2, 2022
9/17, 27, , 22, 1, , 2, 2022
9/18, 17, , 23, 1, , 2, 2022
9/19, 8, , 23, 6, , 2, 2022
9/20, 13, , 21, 7, , 2, 2022
9/21, 16, , 22, 4, , 2, 2022
9/22, 10, , 22, 7, , 3, 2022
9/23, 21, , 21, 10, , 3, 2022
9/24, 29, , 25, 11, , 4, 2022
9/25, 33, , 25, 1, , 2, 2022
9/26, 22, , 32, 2, , 2, 2022
9/27, 21, , 30, 2, , 2, 2022
9/28, 19, , 19, 3, , 2, 2022
9/29, 8, , 21, 6, , 2, 2022
9/30, 25, , 23, 12, , 3, 2022
10/1, 36, , 27, 1, , 2, 2022
4/2, 56, , 29, 5, , 2, 2022
4/3, 47, , 32, 3, , 2, 2022
4/4, 51, , 29, 2, , 2, 2022
4/5, 29, , 29, 5, , 2, 2022
4/6, 37, , 32, 15, , 4, 2022
4/7, 43, , 49, 16, , 4, 2022
4/8, 47, , 32, 7, , 3, 2022
4/9, 55, , 29, 5, , 3, 2022
4/10, 55, , 32, 4, , 2, 2022
4/11, 37, , 32, 1, , 2, 2022
4/12, 25, , 33, 2, , 2, 2022
4/13, 26, , 32, 3, , 3, 2022
4/14, 19, , 28, 2, , 3, 2022
4/15, 15, , 30, 3, , 3, 2022
4/16, 14, , 31, 1, , 3, 2022
4/17, 18, , 33, 1, , 3, 2022
4/18, 14, , 29, 5, , 2, 2022
4/19, 18, , 35, 3, , 2, 2022
4/20, 13, , 31, 3, , 2, 2022
4/21, 13, , 38, 2, , 2, 2022
4/22, 26, , 33, 2, , 2, 2022
4/23, 18, , 24, 4, , 2, 2022
4/24, 27, , 29, 1, , 2, 2022
4/25, 27, , 32, 2, , 2, 2022
4/26, 42, , 33, 2, , 2, 2022
4/27, 47, , 31, 3, , 2, 2022
4/28, 33, , 33, 3, , 2, 2022
4/29, 24, , 33, 9, , 2, 2022
4/30, 32, , 36, 3, , 2, 2022
5/1, 28, , 32, 3, , 2, 2022
5/2, 33, , 34, 3, , 2, 2022
5/3, 34, , 30, 9, , 2, 2022
5/4, 38, , 28, 6, , 2, 2022
5/5, 42, , 27, 2, , 2, 2022
5/6, 32, , 20, 3, , 2, 2022
5/7, 14, , 31, 2, , 2, 2022
5/8, 23, , 32, 2, , 2, 2022
5/9, 27, , 31, 3, , 2, 2022
5/10, 23, , 29, 3, , 2, 2022
5/11, 12, , 25, 7, , 2, 2022
5/12, 15, , 28, 3, , 2, 2022
5/13, 18, , 21, 5, , 2, 2022
5/14, 16, , 18, 4, , 3, 2022
5/15, 19, , 21, 1, , 2, 2022
5/16, 15, , 28, 2, , 2, 2022
5/17, 18, , 28, 3, , 2, 2022
5/18, 38, , 27, 5, , 2, 2022
5/19, 47, , 28, 4, , 2, 2022
5/20, 50, , 29, 4, , 2, 2022
5/21, 38, , 25, 4, , 3, 2022
5/22, 62, , 24, 1, , 2, 2022
5/23, 54, , 24, 4, , 2, 2022
5/24, 55, , 25, 9, , 2, 2022
5/25, 50, , 28, 10, , 3, 2022
5/26, 41, , 31, 2, , 2, 2022
5/27, 11, , 29, 1, , 1, 2022
5/28, 18, , 23, 1, , 1, 2022
5/29, 11, , 24, 2, , 1, 2022
5/30, 25, , 24, 3, , 1, 2022
5/31, 36, , 21, 5, , 2, 2022
6/1, 38, , 23, 2, , 2, 2022
6/2, 29, , 23, 2, , 1, 2022
6/3, 20, , 19, 2, , 1, 2022
6/4, 6, , 23, 2, , 1, 2022
6/5, 9, , 13, 2, , 2, 2022
6/6, 7, , 19, 2, , 1, 2022
6/7, 18, , 23, 2, , 1, 2022
6/8, 23, , 22, 2, , 1, 2022
6/9, 13, , 22, 4, , 2, 2022
6/10, 39, , 14, 6, , 2, 2022
6/11, 29, , 10, 4, , 2, 2022
6/12, 13, , 23, 1, , 1, 2022
6/13, 19, , 21, 4, , 2, 2022
6/14, 28, , 25, 6, , 2, 2022
6/15, 47, , 23, 3, , 2, 2022
6/16, 46, , 28, 2, , 2, 2022
6/17, 16, , 25, 2, , 2, 2022
6/18, 13, , 24, 1, , 1, 2022
6/19, 18, , 21, 2, , 2, 2022
6/20, 32, , 19, 4, , 2, 2022
6/21, 39, , 32, 13, , 4, 2022
6/22, 44, , 26, 6, , 3, 2022
6/23, 46, , 19, 5, , 2, 2022
6/24, 17, , 19, 3, , 2, 2022
6/25, 28, , 22, 1, , 2, 2022
6/26, 40, , 21, 1, , 2, 2022
6/27, 16, , 22, 2, , 2, 2022
6/28, 22, , 20, 2, , 2, 2022
6/29, 26, , 21, 1, , 2, 2022
6/30, 25, , 21, 1, , 2, 2022
7/1, 20, , 20, 1, , 2, 2022
1/4, 17, , 28, 10, , 2, 2022
1/5, 11, , 22, 11, , 2, 2022
1/6, 17, , 21, 10, , 2, 2022
1/7, 22, , 27, 6, , 2, 2022
1/8, 8, , 17, 13, , 3, 2022
1/9, 21, , 17, 13, , 3, 2022
1/10, 34, , 16, 18, , 4, 2022
1/11, 43, , 12, 23, , 4, 2022
1/12, 42, , 18, 20, , 4, 2022
1/13, 64, , 12, 21, , 4, 2022
1/14, 74, , 10, 22, , 4, 2022
1/15, 38, , 17, 17, , 3, 2022
1/16, 42, , 18, 19, , 4, 2022
1/17, 58, , 20, 17, , 3, 2022
1/18, 51, , 21, 8, , 2, 2022
1/19, 21, , 12, 14, , 2, 2022
1/20, 35, , 11, 20, , 4, 2022
1/21, 32, , 27, 14, , 3, 2022
1/22, 40, , 30, 10, , 2, 2022
1/23, 36, , 26, 17, , 4, 2022
1/24, 51, , 26, 16, , 4, 2022
1/25, 51, , 20, 13, , 2, 2022
1/26, 43, , 19, 18, , 4, 2022
1/27, 62, , 17, 25, , 5, 2022
1/28, 55, , 25, 26, , 5, 2022
1/29, 61, , 27, 18, , 4, 2022
1/30, 55, , 28, 9, , 3, 2022
1/31, 35, , 21, 13, , 3, 2022
2/1, 36, , 32, 9, , 2, 2022
2/2, 18, , 30, 7, , 1, 2022
2/3, 14, , 19, 18, , 4, 2022
2/4, 29, , 26, 20, , 4, 2022
2/5, 57, , 16, 18, , 5, 2022
2/6, 64, , 22, 11, , 3, 2022
2/7, 39, , 25, 17, , 5, 2022
2/8, 45, , 21, 23, , 6, 2022
2/9, 51, , 20, 27, , 6, 2022
2/10, 43, , 23, 22, , 6, 2022
2/11, 33, , 29, 21, , 6, 2022
2/12, 36, , 35, 19, , 6, 2022
2/13, 60, , 31, 12, , 5, 2022
2/14, 55, , 34, 2, , 2, 2022
