date, pm25, pm10, o3, no2, so2, co, year
6/27, 10, , 15, 1, , 1, 2021
6/28, 8, , 14, 1, , 1, 2021
6/29, 12, , 13, 1, , 1, 2021
6/30, 22, , 16, 1, , 1, 2021
7/1, 19, , 16, 1, , 1, 2021
1/5, 42, , 17, 15, , 5, 2021
1/6, 33, , 12, 21, , 5, 2021
1/7, 47, , 16, 15, , 3, 2021
1/8, 44, , 12, 18, , 3, 2021
1/9, 52, , 16, 12, , 3, 2021
1/10, 42, , 15, 15, , 4, 2021
1/11, 48, , 13, 17, , 2, 2021
1/12, 56, , 5, 25, , 5, 2021
1/13, 66, , 14, 20, , 5, 2021
1/14, 48, , 11, 15, , 4, 2021
1/15, 51, , 14, 17, , 5, 2021
1/16, 52, , 13, 16, , 5, 2021
1/17, 52, , 17, 17, , 5, 2021
1/18, 41, , 32, 12, , 4, 2021
1/19, 33, , 30, 5, , 2, 2021
1/20, 27, , 20, 19, , 4, 2021
1/21, 55, , 25, 15, , 4, 2021
1/22, 41, , 28, 8, , 3, 2021
1/23, 20, , 21, 8, , 3, 2021
1/24, 35, , 30, 4, , 3, 2021
1/25, 21, , 30, 3, , 2, 2021
1/26, 18, , 30, 10, , 3, 2021
1/27, 22, , 30, 5, , 2, 2021
1/28, 23, , 28, 8, , 2, 2021
1/29, 20, , 25, 13, , 3, 2021
1/30, 17, , 23, 12, , 3, 2021
1/31, 28, , 23, 14, , 3, 2021
2/1, 30, , 26, 13, , 3, 2021
2/2, 28, , 28, 6, , 1, 2021
2/3, 13, , 29, 10, , 2, 2021
2/4, 15, , 29, 13, , 2, 2021
2/5, 22, , 18, 21, , 3, 2021
2/6, 41, , 21, 16, , 4, 2021
2/7, 41, , 23, 14, , 4, 2021
2/8, 42, , 20, 12, , 2, 2021
2/9, 39, , 24, 5, , 2, 2021
2/10, 24, , 29, 5, , 2, 2021
2/11, 24, , 34, 9, , 2, 2021
2/12, 20, , 32, 4, , 1, 2021
2/13, 16, , 34, 2, , 2, 2021
2/14, 20, , 30, 4, , 2, 2021
2/15, 21, , 30, 2, , 2, 2021
2/16, 37, , 27, 7, , 2, 2021
2/17, 29, , 25, 14, , 3, 2021
2/18, 24, , 28, 13, , 3, 2021
2/19, 28, , 29, 7, , 2, 2021
2/20, 19, , 31, 3, , 2, 2021
2/21, 23, , 24, 13, , 3, 2021
2/22, 24, , 25, 17, , 4, 2021
2/23, 43, , 28, 15, , 4, 2021
2/27, 40, , 29, 6, , 2, 2021
2/28, 31, , 31, 9, , 3, 2021
3/1, 22, , 36, 12, , 4, 2021
3/2, 28, , 37, 15, , 4, 2021
3/3, 34, , 38, 12, , 3, 2021
3/4, 39, , 34, 9, , 2, 2021
3/5, 34, , 34, 12, , 2, 2021
3/6, 30, , 32, 4, , 1, 2021
3/7, 12, , 36, 8, , 2, 2021
3/8, 16, , 36, 3, , 2, 2021
3/9, 24, , 34, 5, , 2, 2021
3/10, 16, , 34, 6, , 2, 2021
3/11, 12, , 31, 6, , 2, 2021
3/12, 14, , 28, 9, , 3, 2021
3/13, 26, , 36, 2, , 2, 2021
3/14, 26, , 35, 2, , 1, 2021
3/15, 10, , 32, 3, , 1, 2021
3/16, 21, , 32, 8, , 2, 2021
3/17, 19, , 32, 8, , 2, 2021
3/18, 20, , 29, 7, , 2, 2021
3/19, 24, , 33, 7, , 3, 2021
3/20, 15, , 32, 5, , 2, 2021
3/21, 14, , 29, 9, , 3, 2021
3/22, 24, , 32, 4, , 2, 2021
3/23, 24, , 35, 4, , 2, 2021
3/24, 12, , 31, 5, , 2, 2021
3/25, 23, , 30, 3, , 2, 2021
3/26, 31, , 30, 11, , 3, 2021
3/27, 36, , 31, 11, , 4, 2021
3/28, 42, , 29, 7, , 3, 2021
3/29, 39, , 31, 6, , 3, 2021
3/30, 43, , 32, 16, , 4, 2021
3/31, 35, , 40, 18, , 5, 2021
4/1, 38, , 42, 18, , 5, 2021
10/2, 120, , 28, 15, , 7, 2020
10/3, 120, , 25, 8, , 4, 2020
10/4, 54, , 22, 2, , 3, 2020
10/5, 34, , 21, 8, , 3, 2020
10/6, 35, , 29, 7, , 4, 2020
10/7, 46, , 29, 3, , 3, 2020
10/8, 83, , 30, 2, , 2, 2020
10/9, 56, , 18, 4, , 2, 2020
10/10, 13, , 19, 5, , 2, 2020
10/11, 13, , 24, 6, , 2, 2020
10/12, 30, , 28, 13, , 4, 2020
10/13, 42, , 22, 13, , 4, 2020
10/14, 45, , 19, 15, , 5, 2020
10/15, 45, , 31, 22, , 6, 2020
10/16, 53, , 27, 17, , 5, 2020
10/17, 41, , 37, 20, , 5, 2020
10/18, 48, , 31, 7, , 3, 2020
10/19, 50, , 19, 6, , 2, 2020
10/20, 33, , 23, 11, , 3, 2020
10/21, 36, , 18, 11, , 3, 2020
10/22, 50, , 24, 6, , 2, 2020
10/23, 44, , 30, 7, , 2, 2020
10/24, 30, , 30, 3, , 2, 2020
10/25, 34, , 31, 3, , 2, 2020
10/26, 33, , 34, 6, , 2, 2020
10/27, 37, , 29, 19, , 5, 2020
10/28, 38, , 35, 17, , 4, 2020
10/29, 48, , 42, 17, , 4, 2020
10/30, 52, , 28, 10, , 4, 2020
10/31, 46, , 34, 14, , 5, 2020
11/1, 48, , 38, 18, , 6, 2020
11/2, 62, , 29, 19, , 5, 2020
11/3, 59, , 25, 5, , 2, 2020
11/4, 31, , 16, 8, , 3, 2020
11/5, 14, , 20, 12, , 4, 2020
11/6, 24, , 32, 3, , 2, 2020
11/7, 14, , 26, 4, , 2, 2020
11/8, 24, , 29, 5, , 2, 2020
11/9, 25, , 21, 12, , 3, 2020
11/10, 25, , 26, 13, , 4, 2020
11/11, 29, , 25, 9, , 3, 2020
11/12, 25, , 26, 11, , 4, 2020
11/13, 33, , 27, 7, , 3, 2020
11/14, 18, , 23, 10, , 4, 2020
11/15, 26, , 20, 18, , 6, 2020
11/16, 42, , 20, 18, , 6, 2020
11/17, 39, , 32, 19, , 6, 2020
11/18, 45, , , , , , 2020
11/23, 31, , 21, 9, , 4, 2020
11/24, 17, , 28, 12, , 5, 2020
11/25, 32, , 22, 7, , 3, 2020
11/26, 18, , 23, 7, , 2, 2020
11/27, 16, , 18, 18, , 4, 2020
11/28, 26, , 23, 19, , 4, 2020
11/29, 51, , 19, 22, , 5, 2020
11/30, 54, , 14, 19, , 4, 2020
12/1, 46, , 17, 17, , 4, 2020
12/2, 33, , 18, 19, , 5, 2020
12/3, 45, , 23, 22, , 5, 2020
12/4, 62, , 12, 26, , 7, 2020
12/5, 94, , , , , , 2020
12/7, 31, , 25, 15, , 4, 2020
12/8, 20, , 12, 28, , 7, 2020
12/9, 38, , 26, 24, , 6, 2020
12/10, 77, , 28, 20, , 5, 2020
12/11, 58, , 25, 10, , 3, 2020
12/12, 20, , 24, 6, , 3, 2020
12/13, 15, , 28, 6, , 4, 2020
12/14, 24, , 19, 12, , 4, 2020
12/15, 24, , 8, 19, , 6, 2020
12/16, 42, , 14, 15, , 5, 2020
12/17, 49, , 27, 7, , 4, 2020
12/18, 20, , 14, 18, , 5, 2020
12/19, 31, , 18, 16, , 6, 2020
12/20, 52, , 19, 14, , 6, 2020
12/21, 53, , 17, 14, , 6, 2020
12/22, 57, , 19, 16, , 5, 2020
12/23, 28, , 22, 17, , 5, 2020
12/24, 28, , 14, 15, , 4, 2020
12/25, 68, , 30, 11, , 4, 2020
12/26, 46, , 30, 8, , 3, 2020
12/27, 24, , 20, 11, , 4, 2020
12/28, 29, , 23, 8, , 3, 2020
12/29, 24, , 16, 17, , 5, 2020
12/30, 33, , 24, 11, , 4, 2020
12/31, 25, , 28, 8, , 4, 2020
1/1, 30, , 25, 11, , 6, 2021
1/2, 65, , 17, 10, , 4, 2021
1/3, 36, , 17, 12, , 5, 2021
1/4, 52, , 26, 11, , 4, 2021
7/2, 45, , 24, 2, , 1, 2020
7/3, 40, , 31, 1, , 1, 2020
7/4, 42, , 29, 2, 3, 1, 2020
7/5, 67, , 28, 1, 1, 1, 2020
7/6, 56, , 27, 1, , 1, 2020
7/7, 43, , 24, 2, , 1, 2020
7/8, 43, , 19, 1, 1, 1, 2020
7/9, 46, , 18, 2, , 1, 2020
7/10, 49, , 16, 1, , 1, 2020
7/11, 28, , 22, 1, , 1, 2020
7/12, 41, , 22, 1, , 1, 2020
7/13, 46, , 25, 1, , 1, 2020
7/14, 49, , 24, 1, , 1, 2020
7/15, 40, , 24, 2, , 1, 2020
7/16, 20, , 24, 1, , 1, 2020
7/17, 18, , 24, 1, , 1, 2020
7/18, 15, , 24, 1, , 1, 2020
7/19, 18, , 24, 1, , 1, 2020
7/20, 13, , 21, 1, , 1, 2020
7/21, 13, , 24, 1, 1, 1, 2020
7/22, 11, , 20, 1, 1, 1, 2020
7/23, 13, , 31, 1, , 1, 2020
7/24, 15, , 31, 1, , 1, 2020
7/25, 37, , 31, 1, , 1, 2020
7/26, 34, , 34, 1, , 1, 2020
7/27, 28, , 31, 1, , 1, 2020
7/28, 15, , 22, 2, 1, 1, 2020
7/29, 36, , 23, 2, , 1, 2020
7/30, 13, , 23, 1, , 1, 2020
7/31, 17, , 17, 1, , 1, 2020
8/1, 23, , 13, 1, , 1, 2020
8/2, 17, , 15, 1, , 1, 2020
8/3, 25, , 15, 2, , 1, 2020
8/4, 28, , 20, 1, , 1, 2020
8/5, 32, , 21, 1, , 1, 2020
8/6, 33, , 20, 2, , 1, 2020
8/7, 29, , 20, 2, , 1, 2020
8/8, 50, , 19, 2, , 1, 2020
8/9, 37, , 20, 1, , 1, 2020
8/10, 25, , 23, 1, , 1, 2020
8/11, 29, , 21, 1, , 1, 2020
8/12, 20, , 20, 2, , 1, 2020
8/13, 19, , 26, 8, , 2, 2020
8/14, 51, , 28, 11, 4, 3, 2020
8/15, 41, , 25, 5, 1, 2, 2020
8/16, 45, , 24, 5, , 2, 2020
8/17, 42, , 15, 5, , 2, 2020
8/18, 27, , 16, 7, 1, 2, 2020
8/19, 45, , 20, 6, 1, 4, 2020
8/20, 107, , 11, 2, , 2, 2020
8/21, 64, , 17, 3, , 3, 2020
8/22, 78, , 20, 3, 1, 3, 2020
8/23, 71, , 23, 2, , 3, 2020
8/24, 69, , 21, 5, , 3, 2020
8/25, 61, , 24, 2, , 3, 2020
8/26, 71, , 21, 1, , 1, 2020
8/27, 34, , 20, 2, , 1, 2020
8/28, 30, , 21, 2, , 5, 2020
8/29, 83, , 20, 2, , 3, 2020
8/30, 51, , 20, 1, , 2, 2020
8/31, 54, , 26, 3, , 3, 2020
9/1, 82, , 28, 2, , 3, 2020
9/2, 68, , 28, 2, , 2, 2020
9/3, 43, , 26, 2, , 3, 2020
9/4, 66, , 28, 3, , 3, 2020
9/5, 61, , 35, 10, , 4, 2020
9/6, 73, , 46, 16, , 7, 2020
9/7, 90, , 28, 14, , 5, 2020
9/8, 77, , 19, 6, , 3, 2020
9/9, 45, , 28, 6, , 5, 2020
9/10, 88, , 28, 8, , 11, 2020
9/11, 185, , 31, 13, , 15, 2020
9/12, 205, , 32, 7, , 14, 2020
9/13, 171, , 37, 3, , 14, 2020
9/14, 179, , 36, 3, , 11, 2020
9/15, 182, , 18, 4, , 3, 2020
9/16, 79, , 9, 3, , 2, 2020
9/17, 18, , 17, 3, , 2, 2020
9/18, 19, , 24, 2, , 3, 2020
9/19, 24, , 23, 3, , 3, 2020
9/20, 35, , 26, 7, , 4, 2020
9/21, 50, , 23, 2, , 3, 2020
9/22, 41, , 21, 2, , 2, 2020
9/23, 17, , 18, 4, , 2, 2020
9/24, 20, , 25, 3, , 2, 2020
9/25, 21, , 23, 3, , 2, 2020
9/26, 41, , 19, 7, , 2, 2020
9/27, 35, , 35, 13, , 4, 2020
9/28, 59, , 35, 15, , 5, 2020
9/29, 64, , 33, 4, , 2, 2020
9/30, 17, , 29, 9, , 4, 2020
10/1, 62, , 27, 22, , 8, 2020
4/2, 20, , 26, 7, 1, 2, 2020
4/3, 23, , 26, 5, 1, 2, 2020
4/4, 19, , 28, 2, , 2, 2020
4/5, 15, , 31, 1, , 2, 2020
4/6, 11, , 26, 10, , 3, 2020
4/7, 23, , 31, 8, 1, 3, 2020
4/8, 23, , 30, 2, , 2, 2020
4/9, 26, , 29, 4, , 3, 2020
4/10, 14, , 29, 3, , 3, 2020
4/11, 22, , 29, 1, , 3, 2020
4/12, 16, , 32, 1, , 3, 2020
4/13, 47, , 33, 3, , 3, 2020
4/14, 52, , 34, 7, 1, 3, 2020
4/15, 36, , 28, 8, 1, 3, 2020
4/16, 46, , 23, 2, , 3, 2020
4/17, 20, , 30, 2, , 3, 2020
4/18, 28, , 32, 1, , 3, 2020
4/19, 23, , 32, 1, , 3, 2020
4/20, 21, , 31, 3, , 3, 2020
4/21, 22, , 28, 2, , 3, 2020
4/22, 24, , 22, 3, , 3, 2020
4/23, 26, , 25, 3, 1, 3, 2020
4/24, 18, , 24, 7, 1, 3, 2020
4/25, 38, , 20, 3, 1, 3, 2020
4/26, 28, , 33, 1, , 3, 2020
4/27, 27, , 28, 3, 1, 3, 2020
4/28, 27, , 21, 5, , 3, 2020
4/29, 16, , 20, 1, 1, 3, 2020
4/30, 14, , 31, 2, 1, 3, 2020
5/1, 26, , 30, 3, , 3, 2020
5/2, 25, , 26, 1, , 3, 2020
5/3, 10, , 31, 2, , 3, 2020
5/4, 20, , 35, 5, 1, 3, 2020
5/5, 30, , 32, 2, , 2, 2020
5/6, 21, , 32, 6, , 2, 2020
5/7, 38, , 28, 11, 1, 2, 2020
5/8, 56, , 31, 8, 1, 2, 2020
5/9, 50, , 34, 1, , 1, 2020
5/10, 34, , 35, 1, , 1, 2020
5/11, 32, , 28, 3, , 1, 2020
5/12, 19, , 33, 2, , 1, 2020
5/13, 18, , 24, 3, , 1, 2020
5/14, 23, , 25, 2, , 1, 2020
5/15, 14, , 29, 1, , 1, 2020
5/16, 15, , 28, 1, , 1, 2020
5/17, 11, , 29, 1, , 1, 2020
5/18, 22, , 31, 1, , 1, 2020
5/19, 17, , 28, 2, , 1, 2020
5/20, 20, , 24, 3, , 1, 2020
5/21, 28, , 29, 2, , 1, 2020
5/22, 37, , 27, 2, 1, 1, 2020
5/23, 34, , 26, 3, , 1, 2020
5/24, 43, , 27, 2, 1, 1, 2020
5/25, 48, , 29, 5, 1, 2, 2020
5/26, 49, , 23, 6, 1, 2, 2020
5/27, 47, , 24, 4, 1, 2, 2020
5/28, 43, , 26, 1, , 1, 2020
5/29, 16, , 24, 1, , 1, 2020
5/30, 12, , 26, 1, , 1, 2020
5/31, 17, , 24, 1, , 1, 2020
6/1, 17, , 24, 2, , 1, 2020
6/2, 33, , 27, 7, 1, 2, 2020
6/3, 50, , 23, 7, 1, 2, 2020
6/4, 57, , 28, 4, , 1, 2020
6/5, 63, , 26, 1, , 1, 2020
6/6, 39, , 27, 1, , 1, 2020
6/7, 21, , 25, 1, , 1, 2020
6/8, 23, , 23, 4, 1, 1, 2020
6/9, 24, , 23, 6, 1, 2, 2020
6/10, 33, , 14, 3, 1, 1, 2020
6/11, 20, , 19, 2, , 1, 2020
6/12, 22, , 23, 2, , 1, 2020
6/13, 21, , 22, 1, , 1, 2020
6/14, 18, , 20, 1, , 1, 2020
6/15, 14, , 24, 2, , 1, 2020
6/16, 22, , 24, 3, 1, 1, 2020
6/17, 32, , 23, 7, 1, 2, 2020
6/18, 30, , 26, 7, 1, 2, 2020
6/19, 53, , 24, 2, , 1, 2020
6/20, 33, , 21, 1, , 1, 2020
6/21, 16, , 20, 1, , 1, 2020
6/22, 21, , 23, 1, , 1, 2020
6/23, 29, , 24, 2, , 1, 2020
6/24, 21, , 21, 1, 1, 1, 2020
6/25, 28, , 17, 1, , 1, 2020
6/26, 18, , 20, 2, , 1, 2020
6/27, 19, , 23, 1, , 1, 2020
6/28, 23, , 22, 1, , 1, 2020
6/29, 53, , 21, 3, 1, 1, 2020
6/30, 54, , 20, 3, , 1, 2020
7/1, 53, , 22, 1, , 1, 2020
1/2, 39, , 12, 20, 1, 5, 2020
1/3, 34, , 18, 22, 1, 5, 2020
1/4, 58, , 23, 10, 1, 2, 2020
1/5, 28, , 27, 10, 1, 2, 2020
1/6, 23, , 15, 20, 1, 3, 2020
1/7, 29, , 30, 13, 1, 3, 2020
1/8, 32, , 28, 10, 1, 2, 2020
1/9, 21, , 28, 10, , 3, 2020
1/10, 20, , 30, 13, 1, 3, 2020
1/11, 32, , 28, 7, , 2, 2020
1/12, 23, , 30, 8, 1, 2, 2020
1/13, 23, , 30, 9, 1, 2, 2020
1/14, 15, , 29, 7, , 2, 2020
1/15, 26, , 24, 13, 1, 3, 2020
1/16, 26, , 28, 9, , 3, 2020
1/17, 19, , 21, 18, 1, 4, 2020
1/18, 30, , 21, 10, , 3, 2020
1/19, 21, , 16, 11, , 3, 2020
1/20, 29, , 29, 14, 1, 4, 2020
1/21, 45, , 24, 8, , 3, 2020
1/22, 15, , 21, 17, 1, 4, 2020
1/23, 29, , 12, 18, 1, 4, 2020
1/24, 41, , 21, 13, 1, 4, 2020
1/25, 32, , 24, 7, , 3, 2020
1/26, 32, , 31, 3, , 3, 2020
1/27, 21, , 27, 9, 1, 2, 2020
1/28, 33, , 26, 8, , 2, 2020
1/29, 31, , 20, 13, 1, 3, 2020
1/30, 45, , 16, 13, 1, 3, 2020
1/31, 33, , 13, 19, 1, 5, 2020
2/1, 50, , 22, 13, 1, 4, 2020
2/2, 67, , 31, 4, , 2, 2020
2/3, 23, , 28, 5, 1, 2, 2020
2/4, 14, , 27, 10, 1, 3, 2020
2/5, 19, , 20, 19, 1, 5, 2020
2/6, 36, , 21, 18, 2, 5, 2020
2/7, 44, , 23, 15, 2, 5, 2020
2/8, 45, , 23, 6, , 3, 2020
2/9, 36, , 28, 4, , 3, 2020
2/10, 18, , 26, 14, , 5, 2020
2/11, 24, , 27, 19, , 5, 2020
2/12, 29, , 23, 19, , 6, 2020
2/13, 53, , 29, 3, , 3, 2020
2/14, 33, , 27, 8, , 4, 2020
2/15, 31, , 25, 8, , 4, 2020
2/16, 39, , 29, 5, , 4, 2020
2/17, 28, , 23, 13, , 5, 2020
2/18, 36, , 28, 17, , 5, 2020
2/19, 35, , 24, 12, , 5, 2020
2/20, 39, , 32, 21, , 7, 2020
2/21, 51, , 30, 18, , 6, 2020
2/22, 49, , 33, 6, , 4, 2020
2/23, 51, , 31, 4, , 4, 2020
2/24, 28, , 23, 14, 1, 5, 2020
2/25, 36, , 25, 21, 1, 7, 2020
2/26, 45, , 36, 20, 1, 7, 2020
2/27, 50, , 28, 25, 1, 8, 2020
2/28, 56, , 29, 19, 1, 7, 2020
2/29, 54, , 34, 1, , 4, 2020
3/1, 34, , 29, 5, , 4, 2020
3/2, 21, , 31, 5, , 4, 2020
3/3, 10, , 21, 15, 1, 6, 2020
3/4, 44, , 29, 13, 1, 6, 2020
3/5, 51, , 29, 5, , 5, 2020
3/6, 38, , 28, 3, 1, 4, 2020
3/7, 12, , 32, 2, , 4, 2020
3/8, 9, , 31, 6, , 5, 2020
3/9, 16, , 30, 14, 1, 5, 2020
3/10, 20, , 27, 11, 1, 5, 2020
3/11, 27, , 28, 9, 1, 5, 2020
3/12, 24, , 25, 9, 1, 5, 2020
3/13, 38, , 31, 4, , 3, 2020
3/14, 50, , 31, 2, , 2, 2020
3/15, 13, , 35, 2, , 1, 2020
3/16, 13, , 32, 8, 1, 2, 2020
3/17, 9, , 30, 7, , 2, 2020
3/18, 11, , 31, 5, , 2, 2020
3/19, 15, , 31, 8, 1, 2, 2020
3/20, 19, , 31, 8, 1, 2, 2020
3/21, 24, , 33, 9, , 2, 2020
3/22, 23, , 30, 8, 1, 2, 2020
3/23, 26, , 35, 3, , 2, 2020
3/24, 29, , 32, 3, , 2, 2020
3/25, 13, , 32, 6, 1, 2, 2020
3/26, 9, , 28, 6, , 2, 2020
3/27, 14, , 38, 3, , 2, 2020
3/28, 29, , 34, 4, , 2, 2020
3/29, 40, , , , , , 2020
10/2, 17, , 19, 11, 1, 3, 2019
10/3, 28, , 24, 6, 1, 2, 2019
10/4, 27, , 23, 11, 1, 2, 2019
10/5, 25, , 22, 13, 1, 3, 2019
10/6, 27, , 31, 16, 1, 3, 2019
10/7, 34, , 31, 21, 1, 4, 2019
10/8, 41, , 24, 13, , 4, 2019
10/9, 44, , 25, 12, 1, 3, 2019
10/10, 43, , 28, 15, 1, 2, 2019
10/11, 25, , 32, 24, 1, 4, 2019
10/12, 35, , 43, 19, 1, 4, 2019
10/13, 45, , 29, 7, , 3, 2019
10/14, 25, 43, 28, 8, 1, 2, 2019
10/15, 40, 32, 25, 11, 1, 3, 2019
10/16, 46, 22, 28, 8, 2, 2, 2019
10/17, 16, 16, 26, 6, , 2, 2019
10/18, 25, 17, 28, 15, 1, 3, 2019
10/19, 40, 20, 26, 9, , 3, 2019
10/20, 40, 22, 24, 10, 1, 3, 2019
10/21, 34, , 20, 19, 1, 5, 2019
10/22, 41, , 24, 23, 1, 7, 2019
10/23, 45, , 21, 22, 1, 6, 2019
10/24, 46, , 24, 23, 1, 4, 2019
10/25, 31, , 31, 27, 1, 7, 2019
10/26, 61, , 21, 12, , 4, 2019
10/27, 62, , 26, 5, , 2, 2019
10/28, 30, , 34, 12, 1, 4, 2019
10/29, 54, , 25, 15, 1, 4, 2019
10/30, 45, , 27, 19, 1, 4, 2019
10/31, 28, , 28, 24, 3, 5, 2019
11/1, 44, , 26, 28, 2, 6, 2019
11/2, 52, , 38, 28, 1, 7, 2019
11/3, 56, , 36, 17, 2, 6, 2019
11/4, 51, , 23, 15, 1, 4, 2019
11/5, 43, , 21, 15, 1, 4, 2019
11/6, 39, , 22, 7, 1, 2, 2019
11/7, 42, , 27, 9, 1, 3, 2019
11/8, 49, , 24, 13, 1, 3, 2019
11/9, 71, , 25, 11, 1, 3, 2019
11/10, 63, , 22, 8, , 3, 2019
11/11, 43, , 17, 22, 1, 5, 2019
11/12, 49, , 26, 18, 1, 5, 2019
11/13, 45, , 28, 10, 1, 3, 2019
11/14, 37, , 22, 11, , 3, 2019
11/15, 35, , 20, 10, , 2, 2019
11/16, 14, , 12, 11, 1, 3, 2019
11/17, 37, , 29, 18, 1, 6, 2019
11/18, 49, , 31, 22, 1, 6, 2019
11/19, 62, , 27, 7, , 3, 2019
11/20, 33, , 23, 14, 1, 3, 2019
11/21, 34, , 22, 12, 1, 4, 2019
11/22, 45, , 21, 21, 1, 5, 2019
11/23, 53, , 25, 20, 1, 4, 2019
11/24, 56, , 21, 16, 1, 4, 2019
11/25, 51, , 27, 12, 1, 2, 2019
11/26, 39, , 32, 8, 1, 1, 2019
11/27, 25, , 28, 9, , 1, 2019
11/28, 26, , 22, 9, 1, 2, 2019
11/29, 28, , 25, 12, 1, 2, 2019
11/30, 22, , 27, 5, 1, 2, 2019
12/1, 16, , 27, 2, , 1, 2019
12/2, 10, , 25, 13, , 3, 2019
12/3, 16, , 13, 16, , 3, 2019
12/4, 23, , 5, 17, , 3, 2019
12/5, 35, , 8, 18, 1, 4, 2019
12/6, 43, , 27, 9, , 2, 2019
12/7, 19, , 32, 5, , 2, 2019
12/8, 17, , 32, 5, , 2, 2019
12/9, 18, , 22, 13, 1, 3, 2019
12/10, 29, , 19, 11, 1, 3, 2019
12/11, 37, , 12, 17, , 3, 2019
12/12, 34, , 15, 8, , 3, 2019
12/13, 13, , 27, 10, , 3, 2019
12/14, 22, , 31, 3, , 2, 2019
12/15, 18, , 28, 5, , 2, 2019
12/16, 18, , 16, 14, 1, 3, 2019
12/17, 23, , 15, 20, 1, 4, 2019
12/18, 42, , 25, 9, , 3, 2019
12/19, 17, , 21, 15, , 4, 2019
12/20, 30, , 12, 20, 1, 5, 2019
12/21, 52, , 23, 15, 1, 5, 2019
12/22, 48, , 32, 6, , 3, 2019
12/23, 20, , 19, 15, 1, 4, 2019
12/24, 24, , 28, 12, , 3, 2019
12/25, 22, , 27, 4, , 3, 2019
12/26, 16, , 19, 14, , 4, 2019
12/27, 27, , 17, 19, , 5, 2019
12/28, 33, , 15, 16, , 5, 2019
12/29, 38, , 23, 7, , 3, 2019
12/30, 26, , , , , , 2019
7/2, 35, , 20, 4, 1, 1, 2019
7/3, 42, , 20, 3, 1, 1, 2019
7/4, 41, , 23, 2, 1, 1, 2019
7/5, 36, , 23, 2, 1, 2, 2019
7/6, 35, , 23, 1, 1, 1, 2019
7/7, 44, , 23, 1, 1, 1, 2019
7/8, 42, , 21, 2, 1, 2, 2019
7/9, 32, , 19, 3, 1, 1, 2019
7/10, 19, , 10, 4, 1, 2, 2019
7/11, 18, , 12, 2, 2, 1, 2019
7/12, 11, , 12, 2, 2, 1, 2019
7/13, 20, , 13, 2, 1, 1, 2019
7/14, 24, , 17, 2, 1, 1, 2019
7/15, 25, , 16, 4, 1, 2, 2019
7/16, 33, , 16, 2, 1, 2, 2019
7/17, 26, , 20, 4, 3, 2, 2019
7/18, 36, , 20, 1, 1, 1, 2019
7/19, 18, , 19, 5, 1, 2, 2019
7/20, 42, , 20, 1, 1, 2, 2019
7/21, 23, , 20, 2, 1, 2, 2019
7/22, 27, , 18, 4, 1, 2, 2019
7/23, 29, , 15, 3, 1, 2, 2019
7/24, 26, , 21, 8, 1, 3, 2019
7/25, 48, , 20, 3, 2, 2, 2019
7/26, 42, , 18, 2, 1, 2, 2019
7/27, 15, , 19, 5, 1, 2, 2019
7/28, 26, , 21, 3, 1, 2, 2019
7/29, 46, , 19, 2, 1, 2, 2019
7/30, 51, , 21, 3, 1, 2, 2019
7/31, 38, , 21, 4, 1, 2, 2019
8/1, 36, , 12, 2, 1, 2, 2019
8/2, 13, , 11, 2, 1, 2, 2019
8/3, 14, , 16, 2, 1, 1, 2019
8/4, 10, , 24, 2, 1, 2, 2019
8/5, 27, , 23, 4, 1, 2, 2019
8/6, 43, , 24, 3, 1, 2, 2019
8/7, 42, , 25, 3, 2, 1, 2019
8/8, 38, , 23, 3, 1, 1, 2019
8/9, 27, , 20, 4, 1, 1, 2019
8/10, 20, , 17, 1, , 1, 2019
8/11, 9, , 18, 3, , 1, 2019
8/12, 17, , 18, 6, 1, 1, 2019
8/13, 31, , 18, 7, 1, 1, 2019
8/14, 34, , 24, 11, 1, 3, 2019
8/15, 47, , 22, 10, 1, 2, 2019
8/16, 55, , 20, 5, 1, 1, 2019
8/17, 57, , 24, 3, , 1, 2019
8/18, 45, , 22, 4, , 1, 2019
8/19, 22, , 21, 2, , 1, 2019
8/20, 17, , 19, 3, , 1, 2019
8/21, 24, , 19, 4, 2, 1, 2019
8/22, 23, , 19, 3, 2, 1, 2019
8/23, 27, , 20, 3, 1, 1, 2019
8/24, 32, , 24, 2, , 2, 2019
8/25, 29, , 27, 3, , 2, 2019
8/26, 21, , 23, 8, 1, 2, 2019
8/27, 18, , 24, 5, , 2, 2019
8/28, 19, , 24, 2, , 2, 2019
8/29, 26, , 20, 1, , 2, 2019
8/30, 41, , 18, 3, 1, 2, 2019
8/31, 29, , 18, 4, 1, 1, 2019
9/1, 29, , 19, 2, 1, 1, 2019
9/2, 19, , 19, 2, , 1, 2019
9/3, 26, , 18, 2, , 1, 2019
9/4, 21, , 20, 3, 1, 1, 2019
9/5, 21, , 22, 2, 1, 1, 2019
9/6, 15, , 20, 3, 1, 1, 2019
9/7, 15, , 20, 1, , 1, 2019
9/8, 15, , 21, 2, 1, 1, 2019
9/9, 24, , 24, 4, , 1, 2019
9/10, 23, , 22, 5, , 1, 2019
9/11, 28, , 23, 10, 1, 2, 2019
9/12, 38, , 25, 16, 1, 3, 2019
9/13, 39, , 38, 17, 2, 4, 2019
9/14, 45, , 20, 4, 1, 2, 2019
9/18, 22, , 20, 4, 1, 1, 2019
9/19, 14, , 21, 8, 2, 2, 2019
