date, pm25, o3, no2, so2, co
2014/3/9, 40, 25, 14, 1, 47
2014/3/10, 29, 27, 9, , 39
2014/3/11, 20, 29, 11, , 36
2014/3/12, 15, 27, 14, , 45
2014/3/13, 29, 21, 22, 1, 57
2014/3/14, 19, 23, 9, , 48
2014/3/15, 45, 20, 17, , 60
2014/3/16, 33, 24, 9, , 48
2014/3/17, 31, 27, 8, , 44
2014/3/18, 28, 25, 19, 2, 53
2014/3/19, 34, 25, 21, 2, 54
2014/3/20, 33, 26, 13, , 43
2014/3/21, 51, 28, 5, , 32
2014/3/22, 51, 27, 6, , 34
2014/3/23, 53, 30, 5, , 32
2014/3/24, 37, 24, 15, , 52
2014/3/25, 38, 27, 10, , 36
2014/3/26, 21, 29, 6, , 34
2014/3/27, 26, 30, 7, , 34
2014/3/28, 35, 24, 8, , 36
2014/3/29, 18, 27, 6, , 34
2014/3/30, 20, 29, 4, , 32
2014/3/31, 18, 31, 11, , 39
2014/4/1, 15, 29, 13, , 40
2019/5/21, , 33, 3, , 28
2018/10/24, , 20, 11, , 29
2018/10/25, , 21, 8, , 20
2018/7/23, , 23, 4, , 2
2018/4/22, , 29, 7, , 33
2018/4/23, , 19, 15, , 46
2018/1/12, , 11, 18, 1, 47
2018/1/29, , 11, 22, 2, 57
2018/2/20, , 24, 12, , 48
2015/10/17, , 33, 4, , 32
2015/1/1, , 23, 20, 1, 55
2014/10/8, , 18, 13, 1, 49
2014/10/9, , 24, 6, , 35
2014/10/10, , 25, 5, , 34
2014/12/15, , 21, 12, , 36
2014/12/16, , 22, 15, , 41
2014/1/1, , 10, 27, 3, 84
2014/2/13, , 17, 12, , 47
2014/10/7, , , 9, 1, 39
2019/5/17, , , , , 
2019/5/18, , , , , 
2019/5/19, , , , , 
2019/5/20, , , , , 
2018/11/21, , , , , 
2018/11/22, , , , , 
2018/11/24, , , , , 
2018/11/25, , , , , 
2018/11/26, , , , 1, 
2018/11/27, , , , , 
2018/11/28, , , , , 
2018/11/29, , , , , 
2018/11/30, , , , , 
2018/12/1, , , , , 
2018/12/2, , , , , 
2018/12/3, , , , , 
2018/12/4, , , , , 
2018/12/5, , , , , 
2018/12/6, , , , , 
2018/12/7, , , , , 
2018/12/8, , , , 1, 
2018/12/9, , , , , 
2018/12/10, , , , , 
2018/12/11, , , , 1, 
2018/12/12, , , , , 
2018/12/13, , , , , 
2018/12/14, , , , , 
2018/12/15, , , , , 
2018/12/16, , , , , 
2018/12/17, , , , , 
2018/12/18, , , , 1, 
2018/12/19, , , , , 
2018/12/20, , , , 1, 
2018/12/21, , , , , 
2018/12/22, , , , 1, 
2018/12/23, , , , 1, 
2018/12/24, , , , , 
2018/12/25, , , , , 
2018/12/26, , , , , 
2018/12/27, , , , , 
2018/12/28, , , , , 
2018/12/29, , , , , 
2018/12/30, , , , 1, 
2018/7/21, , , , , 
